NID,Title,URL,Organization,Product,Issue,"What you should do",Category,"Recall class","Last updated",Archived
82317,"Chongqing Hot and Sour Sauce recalled due to undeclared peanut",https://recalls-rappels.canada.ca/en/alert-recall/chongqing-hot-and-sour-sauce-recalled-due-undeclared-peanut,CFIA,"Chongqing Hot and Sour Sauce",Peanut,"Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Other,"Class 2",2026-07-10,0
82321,"Transport Canada Recall - 2026330 - TOYOTA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026330-toyota,TC,"SUV recalled by TOYOTA",Structure,,SUV,,2026-07-10,0
82322,"Transport Canada Recall - 2026331 - BMW",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026331-bmw,TC,"SUV recalled by BMW",Engine,,"SUV - Car",,2026-07-10,0
75680,"Transport Canada Recall - 2024323 - KIA",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2024323-kia,TC,"SUV recalled by KIA",Electrical,,SUV,,2026-07-09,0
82273,"​​Insignia® Gas Ranges​ recalled due to fire hazard  ",https://recalls-rappels.canada.ca/en/alert-recall/insigniar-gas-ranges-recalled-due-fire-hazard,"Consumer product safety","Insignia Gas Ranges","Fire hazard","Consumers should immediately stop using the recalled range and contact Best Buy Canada to obtain a free set of knob covers.For more information, consumers can contact Best Buy Canada by telephone at 1-800-566-7498 from 7:30 a.m. to 5 p.m. Central Time Monday through Friday, by email at range@realtimeresults.net or visit the recall website at&nbsp;https://www.recallrtr.com/range or&nbsp;www.bestbuy.ca and click on “Product Recalls” located in the footer at the bottom of the page.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC&nbsp;) and Best Buy Canada.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Appliances,,2026-07-09,0
82282,"​​Cuisinart Propel+ Four Burner 3-In-1 Gas Grill​s recalled due to a laceration hazard",https://recalls-rappels.canada.ca/en/alert-recall/cuisinart-propel-four-burner-3-1-gas-grill-s-recalled-due-laceration-hazard,"Consumer product safety","Cuisinart Propel+ Four Burner 3-In-1 Gas Grills with Pizza Oven","Laceration hazard","Consumers should immediately stop using the recalled product and contact Conair for a refund.Consumers should stop using the recalled Cuisinart Propel+ Four Burner 3-in-1 Gas Grill immediately and visit Conair’s website to check if their grill is included in the recall. If affected, follow the instructions to safely remove the tempered glass window on the pizza oven and upload two photographs; one of the removed glass and one of the grill’s serial number to the firm’s website. Upon verification, consumers will receive a $500 USD refund by check or be reimbursed for the original purchase amount with proof of receipt. After receiving their refund, consumers should write the word “Recall” with black sharpie marker on the tempered glass and dispose of it.For more information, consumers can contact Conair toll-free at 833-408-0463 from 8:30 a.m. to 6:00 p.m. ET Monday through Friday or online at https://www.recallrtr.com/3in1grill or www.cuisinart.com and click on “Safety Recalls” at the bottom of the page.Joint recall with Health Canada, the United States Consumer Product Safety Commission (US CPSC) and Conair.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the Consumer Product Incident Report Form.This recall is also posted on the OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Outdoor living",,2026-07-09,0
82293,"The Butcher Barn brand meat products recalled due to undeclared mustard and soy",https://recalls-rappels.canada.ca/en/alert-recall/butcher-barn-brand-meat-products-recalled-due-undeclared-mustard-and-soy,CFIA,"Meat products","Mustard - Soy","Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Processed,"Class 1",2026-07-09,0
82300,"Astral 150™",https://recalls-rappels.canada.ca/en/alert-recall/astral-150tm,"Medical devices","Astral 150™",Performance,,Anaesthesiology,"Type II",2026-07-09,0
82301,"Phantom® Hindfoot TTC/TC Ball Tipped Guide Rod",https://recalls-rappels.canada.ca/en/alert-recall/phantomr-hindfoot-ttctc-ball-tipped-guide-rod,"Medical devices","Phantom® Hindfoot TTC/TC Ball Tipped Guide Rod",Sterility,,Cardiovascular,"Type II",2026-07-09,0
82320,"Transport Canada Recall - 2026329 - SUBARU",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026329-subaru,TC,"SUV recalled by SUBARU",Label,,SUV,,2026-07-09,0
77846,"Transport Canada Recall - 2025366 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2025366-ford,TC,"Car recalled by FORD","Fuel System",,"Chassis Cab - Light Truck & Van - Car - SUV - Truck - Med. & H.D.",,2026-07-08,0
82288,"Rowenta Cordless Vacuum Cleaners recalled due to fire and burn hazards ",https://recalls-rappels.canada.ca/en/alert-recall/rowenta-cordless-vacuum-cleaners-recalled-due-fire-and-burn-hazards,"Consumer product safety","Rowenta Cordless Vacuum Cleaners","Burn hazard - Fire hazard","Consumers should immediately stop using the recalled product and contact Rowenta Canada to obtain a replacement battery.&nbsp;For more information, consumers can contact Rowenta Canada by telephone at 1-800-418-3325 from 8:30 a.m. to 5 p.m. ET, Monday through Friday or visit the&nbsp;company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-07-08,0
82292,"Allura Xper FD10",https://recalls-rappels.canada.ca/en/alert-recall/allura-xper-fd10,"Medical devices","Allura Xper FD10",Performance,,Radiology,"Type II",2026-07-08,0
82294,"Alice Le System - Sleepware Software",https://recalls-rappels.canada.ca/en/alert-recall/alice-system-sleepware-software,"Medical devices","Alice Le System - Sleepware Software","Unauthorised device",,Neurology,"Type II",2026-07-08,0
82295,"Two lots of Omnitrope injectable human growth hormone recalled due to cracked cartridges",https://recalls-rappels.canada.ca/en/alert-recall/two-lots-omnitrope-injectable-human-growth-hormone-recalled-due-cracked-cartridges,"Communications and Public Affairs Branch","Omnitrope (5 mg/1.5 mL somatropin)","Product quality","If you have a recalled product, do not use it. Contact your pharmacy immediately for a replacement. Return the recalled product to your pharmacy for&nbsp;proper disposal.If you or your child have used this product and experience any unusual symptoms (e.g. persistent redness, swelling and/or pain at the injection site, fever) or have any other health concerns, consult a healthcare professional.Contact Sandoz Canada Inc. by calling toll-free at 1-800-343-8839 if you have questions about this recall.Report any health product-related&nbsp;side effects or&nbsp;complaints to Health Canada.","Biologic or vaccine","Type I",2026-07-08,0
82304,"Transport Canada Recall - 2026280 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026280-ford,TC,"Light Truck & Van recalled by FORD",Powertrain,,"Light Truck & Van",,2026-07-08,0
82305,"Transport Canada Recall - 2026281 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026281-ford,TC,"Car recalled by FORD",Powertrain,,Car,,2026-07-08,0
82306,"Transport Canada Recall - 2026282 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026282-ford,TC,"SUV recalled by FORD",Other,,SUV,,2026-07-08,0
82307,"Transport Canada Recall - 2026283 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026283-ford,TC,"Light Truck & Van recalled by FORD",Powertrain,,"Light Truck & Van",,2026-07-08,0
82308,"Transport Canada Recall - 2026292 - LAND ROVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026292-land-rover,TC,"SUV recalled by LAND ROVER",Airbag,,SUV,,2026-07-08,0
82309,"Transport Canada Recall - 2026293 - WINNEBAGO INDUSTRIES",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026293-winnebago-industries,TC,"Motorhome recalled by WINNEBAGO INDUSTRIES",Label,,Motorhome,,2026-07-08,0
82310,"Transport Canada Recall - 2026296 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026296-forest-river,TC,"RV Trailer recalled by FOREST RIVER",Label,,"RV Trailer",,2026-07-08,0
82311,"Transport Canada Recall - 2026303 - BRAUNABILITY",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026303-braunability,TC,"Minivan recalled by BRAUNABILITY",Airbag,,Minivan,,2026-07-08,0
82312,"Transport Canada Recall - 2026306 - FOREST RIVER",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026306-forest-river,TC,"RV Trailer recalled by FOREST RIVER",Electrical,,"RV Trailer",,2026-07-08,0
82313,"Transport Canada Recall - 2026307 - GENERAL MOTORS",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026307-general-motors,TC,"Chassis Cab recalled by GENERAL MOTORS",Steering,,"Chassis Cab - Light Truck & Van",,2026-07-08,0
82314,"Transport Canada Recall - 2026309 - AIRSTREAM",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026309-airstream,TC,"RV Trailer recalled by AIRSTREAM",Electrical,,"RV Trailer",,2026-07-08,0
82315,"Transport Canada Recall - 2026314 - TIFFIN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026314-tiffin,TC,"Motorhome recalled by TIFFIN",Electrical,,Motorhome,,2026-07-08,0
81987,"Gummy Gainz brand Protein Candy recalled due to improperly declared milk",https://recalls-rappels.canada.ca/en/alert-recall/gummy-gainz-brand-protein-candy-recalled-due-improperly-declared-milk,CFIA,"Protein Candy",Milk,"Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 1",2026-07-07,0
82284,"Sunluway Oven Bottom Panel Replacement recalled due to burn hazard ",https://recalls-rappels.canada.ca/en/alert-recall/sunluway-oven-bottom-panel-replacement-recalled-due-burn-hazard,"Consumer product safety","Sunluway Oven Bottom Panel Replacement","Burn hazard","Consumers should immediately stop using the recalled product and dispose of it.For more information, consumers can contact Sunluway Bearings USA through the secure Amazon Buyer-Seller Messaging Service by clicking ""Contact Seller"" in their order details for the fastest resolution and refund processing. For alternative inquiries outside the platform, consumers can reach dedicated compliance support by email at hongchushi1997@126.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Appliances,,2026-07-07,0
82287,"TAVNEOS (avacopan) and Health Canada’s Review of Data Integrity Concerns",https://recalls-rappels.canada.ca/en/alert-recall/tavneos-avacopan-and-health-canada-s-review-data-integrity-concerns,"Marketed health products","TAVNEOS (avacopan) capsules, 10 mg","New safety information - Product safety","See key messages above",Drugs,,2026-07-07,0
82297,"Transport Canada Recall - 2026295 - ALLIANCE RV",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026295-alliance-rv,TC,"RV Trailer recalled by ALLIANCE RV",Electrical,,"RV Trailer",,2026-07-07,0
82298,"Transport Canada Recall - 2026304 - BMW",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026304-bmw,TC,"Car recalled by BMW","Lights And Instruments",,Car,,2026-07-07,0
82299,"Transport Canada Recall - 2026305 - INDIAN",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026305-indian,TC,"Motorcycle recalled by INDIAN",Label,,Motorcycle,,2026-07-07,0
82275,"Westside Sauce brand Bistro Honey Dill Sauce recalled due to undeclared mustard",https://recalls-rappels.canada.ca/en/alert-recall/westside-sauce-brand-bistro-honey-dill-sauce-recalled-due-undeclared-mustard,CFIA,"Bistro Honey Dill Sauce",Mustard,,Condiments,"Class 2",2026-07-06,0
82283,"Vevor 4 in 1 ​Baby walker​ recalled due to physical hazard",https://recalls-rappels.canada.ca/en/alert-recall/vevor-4-1-baby-walker-recalled-due-physical-hazard,"Consumer product safety"," Vevor 4 in 1 Baby Walker","Physical hazard","Consumers should immediately stop using the recall product and safely dispose of it in such a way that it cannot be used again.&nbsp;For more information, consumers can contact Do Home Inc. by email at admin@dohomeinc.com or visit the company&nbsp;website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Other,,2026-07-06,0
82285,"Hotline IV Fluid Warmer System & Accessories",https://recalls-rappels.canada.ca/en/alert-recall/hotline-iv-fluid-warmer-system-accessories,"Medical devices","Hotline IV Fluid Warmer System & Accessories",Performance,,"General hospital and personal use","Type I",2026-07-06,0
82286,"JAMP Chlorthalidone 12.5 mg tablet: Out of specification (Dissolution)",https://recalls-rappels.canada.ca/en/alert-recall/jamp-chlorthalidone-125-mg-tablet-out-specification-dissolution,"Drugs and health products","JAMP Chlorthalidone 12.5 mg Tablets","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product, or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type III",2026-07-06,0
82289,"Transport Canada Recall - 2026299 - BLUE BIRD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026299-blue-bird,TC,"School Bus recalled by BLUE BIRD","Fuel System",,"School Bus",,2026-07-06,0
82290,"Transport Canada Recall - 2026300 - BLUE BIRD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026300-blue-bird,TC,"Bus recalled by BLUE BIRD","Fuel System",,Bus,,2026-07-06,0
82265,"​​Combined Smoke, Combustible Gas & Carbon Monoxide Alarm​ recalled due to potential failure to operate ",https://recalls-rappels.canada.ca/en/alert-recall/combined-smoke-combustible-gas-carbon-monoxide-alarm-recalled-due-potential-failure,"Consumer product safety","Combined Smoke, Combustible Gas & Carbon Monoxide Alarm","Unauthorized products","Consumers should immediately stop using the recalled product and dispose of it according to municipal hazardous waste guidelines. Consumers should replace the recalled product with one that bears a&nbsp;Canadian certification mark.&nbsp;For more information, consumers can contact Shenzhen Yundou Network Technology Co., Ltd by email at&nbsp;yundou2024@163.com.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Household items",,2026-07-03,0
82278,"DLP Select 3D Arterial Cannula and DLP Elongated One Piece Arterial Cannulae",https://recalls-rappels.canada.ca/en/alert-recall/dlp-select-3d-arterial-cannula-and-dlp-elongated-one-piece-arterial-cannulae,"Medical devices","DLP Select 3D Arterial Cannula and DLP Elongated One Piece Arterial Cannulae","Performance - Sterility",,Cardiovascular,"Type II",2026-07-03,0
82279,"Hybrid Hydrophilic Microguidewire",https://recalls-rappels.canada.ca/en/alert-recall/hybrid-hydrophilic-microguidewire,"Medical devices","Hybrid Hydrophilic Microguidewire",Performance,,Neurology,"Type II",2026-07-03,0
82280,"Intramedullary Bone Saw Blade Assembly",https://recalls-rappels.canada.ca/en/alert-recall/intramedullary-bone-saw-blade-assembly,"Medical devices","Intramedullary Bone Saw Blade Assembly",Sterility,,Orthopaedics,"Type II",2026-07-03,0
82281,"Urinary Catheter Trays containing Cliniclean Pericare Wipes",https://recalls-rappels.canada.ca/en/alert-recall/urinary-catheter-trays-containing-cliniclean-pericare-wipes,"Medical devices","Urinary Catheter Trays containing Cliniclean Pericare Wipes",Performance,,"Gastroenterology and urology","Type II",2026-07-03,0
75928,"Aisys, Avance, and Aespire Anesthesia Machines",https://recalls-rappels.canada.ca/en/alert-recall/aisys-avance-and-aespire-anesthesia-machines,"Medical devices","Aisys, Avance, and Aespire Anesthesia Machines",Performance,,Anaesthesiology,"Type II",2026-07-02,0
82259,"New Horse Riding Helmet 100 Fouganza recalled due to injury hazard ",https://recalls-rappels.canada.ca/en/alert-recall/new-horse-riding-helmet-100-fouganza-recalled-due-injury-hazard,"Consumer product safety","New Horse Riding Helmet 100 Fouganza","Injury hazard","Consumers should immediately stop using the recalled product and return it to obtain a credit.&nbsp;For more information, consumers can contact Decathalon by telephone at 1-844-533-3322,&nbsp;between 10:00 am and 6:00 pm Monday to Friday, by email at&nbsp;onlineservice@decathlon.ca or visit the company website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Sports and fitness",,2026-07-02,0
82266,"RAPIDLab® 348EX System",https://recalls-rappels.canada.ca/en/alert-recall/rapidlabr-348ex-system,"Medical devices","RAPIDLab® 348EX System",Performance,,Chemistry,"Type II",2026-07-02,0
82267,"AirSeal Access Port With Blunt Obturator and AirSeal Access Port With Optical Obturator",https://recalls-rappels.canada.ca/en/alert-recall/airseal-access-port-blunt-obturator-and-airseal-access-port-optical-obturator,"Medical devices","AirSeal Access Port With Blunt Obturator and AirSeal Access Port With Optical Obturator",Performance,,"General and plastic surgery","Type II",2026-07-02,0
82268,"Glidesheath Slender® Introducer Sheath",https://recalls-rappels.canada.ca/en/alert-recall/glidesheath-slenderr-introducer-sheath,"Medical devices","Glidesheath Slender® Introducer Sheath",Performance,,Cardiovascular,"Type II",2026-07-02,0
82269,WASPLab,https://recalls-rappels.canada.ca/en/alert-recall/wasplab,"Medical devices",WASPLab,Performance,,Microbiology,"Type II",2026-07-02,0
82270,"LIFECODES LSA Class II",https://recalls-rappels.canada.ca/en/alert-recall/lifecodes-lsa-class-ii,"Medical devices","LIFECODES LSA Class II",Performance,,Haematology,"Type II",2026-07-02,0
82272,"Fludeoxyglucose (18F) Injection; Cracked vial",https://recalls-rappels.canada.ca/en/alert-recall/fludeoxyglucose-18f-injection-cracked-vial,"Drugs and health products","Fludeoxyglucose (18F) Injection","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Radiopharmaceuticals,"Type III",2026-07-02,0
82276,"NephroMax High Pressure Nephrostomy Balloon Catheter",https://recalls-rappels.canada.ca/en/alert-recall/nephromax-high-pressure-nephrostomy-balloon-catheter,"Medical devices","NephroMax High Pressure Nephrostomy Balloon Catheter","Device compatibility",,"Gastroenterology and urology","Type II",2026-07-02,0
77161,"Wu Xian Zhai brand Soybean Snacks recalled due to undeclared wheat and egg",https://recalls-rappels.canada.ca/en/alert-recall/wu-xian-zhai-brand-soybean-snacks-recalled-due-undeclared-wheat-and-egg,CFIA,"Soybean Snacks","Wheat - Gluten - Egg","Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionIf you have celiac disease or other gluten-related disorders, do not consume the recalled products as they may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 1",2026-06-30,0
82224,"Transport Canada Recall - 2026266 - MERCEDES-BENZ",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026266-mercedes-benz,TC,"SUV recalled by MERCEDES-BENZ","Seats And Restraints",,SUV,,2026-06-30,0
82258,"IPEX cement and primer products​ recalled due to improper labelling and lack of child-resistant packaging  ",https://recalls-rappels.canada.ca/en/alert-recall/ipex-cement-and-primer-products-recalled-due-improper-labelling-and-lack-child,"Consumer product safety","IPEX chemical products","Labelling and packaging","Consumers should immediately stop using the recalled products and refer to the&nbsp;IPEX Inc.&nbsp;company website for further instructions on disposal of the products.For more information, consumers can contact IPEX Inc. by telephone at 1-866-777-8023, 9:00 a.m. to 5:00 p.m. EST, Monday to Friday, by email at&nbsp;retailorders32@ipexamerica.com or visit the company&nbsp;website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.",Chemicals,,2026-06-30,0
82260,"9227-8712 Québec Inc. brand and L'Érabeille brand Pure Maple Syrup recalled due to container integrity defects and spoilage",https://recalls-rappels.canada.ca/en/alert-recall/9227-8712-quebec-inc-brand-and-erabeille-brand-pure-maple-syrup-recalled-due-container,CFIA,"Pure Maple Syrup","Non harmful (quality or spoilage)",,"Candy, confectionary, snacks and sweeteners","Class 3",2026-06-30,0
82262,"Wu Xian Zhai brand Vegetarian Beef (Sauce) recalled due to undeclared wheat and egg",https://recalls-rappels.canada.ca/en/alert-recall/wu-xian-zhai-brand-vegetarian-beef-sauce-recalled-due-undeclared-wheat-and-egg,CFIA,"Vegetarian Beef (Sauce)","Wheat - Egg - Gluten","Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionIf you have celiac disease or other gluten-related disorders, do not consume the recalled products as it may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Candy, confectionary, snacks and sweeteners","Class 1",2026-06-30,0
82264,"Certain Five Star Shellfish Inc. brand oysters recalled due to Salmonella",https://recalls-rappels.canada.ca/en/alert-recall/certain-five-star-shellfish-inc-brand-oysters-recalled-due-salmonella,CFIA,"Certain oysters",Salmonella,"If you think you became sick from consuming a recalled product, contact your healthcare providerCheck to see if you have recalled productsDo not consume, serve, use, sell, or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedFood contaminated with&nbsp;Salmonella may not look or smell spoiled but can still make you sick. Young children, pregnant women, the elderly and people with weakened immune systems may contract serious and sometimes deadly infections. Healthy people may experience short-term symptoms such as fever, headache, vomiting, nausea, abdominal cramps and diarrhea. Long-term complications may include severe arthritis.Learn more:Learn more about the health risksSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern",Fresh,"Class 2",2026-06-30,0
82252,"Certain Thermos Stainless King Food Jars and Sportsman Food & Beverage Bottles recalled due to Impact Injury and Laceration Hazards",https://recalls-rappels.canada.ca/en/alert-recall/certain-thermos-stainless-king-food-jars-and-sportsman-food-beverage-bottles-recalled,"Consumer product safety","Thermos Stainless King 3000 and 3020 Food Jars and Thermos Sportsman 3010 Food & Beverage Bottle","Impact hazard - Laceration hazard","Consumers should immediately stop using the recalled products and visit the Canadian Thermos Products Inc. website for more information.For more information, consumers can visit the Canadian Thermos Products Inc. website.Please note that the Canada Consumer Product Safety Act prohibits recalled products from being redistributed, sold or even given away in Canada.Health Canada would like to remind consumers to report any health or safety incidents related to the use of this product or any other consumer product or cosmetic by filling out the&nbsp;Consumer Product Incident Report Form.This recall is also posted on the&nbsp;OECD Global Portal on Product Recalls website. You can visit this site for more information on other international consumer product recalls.","Kitchenware and tableware",,2026-06-29,0
82261,"Abiomed Introducer Kits with Impella Heart Pumps",https://recalls-rappels.canada.ca/en/alert-recall/abiomed-introducer-kits-impella-heart-pumps,"Medical devices","Abiomed Introducer Kits with Impella Heart Pumps",Performance,,Cardiovascular,"Type I",2026-06-29,0
82253,"Various Salem Foods brand Ground Spices and Spice Blends recalled due to undeclared wheat, sesame and mustard",https://recalls-rappels.canada.ca/en/alert-recall/various-salem-foods-brand-ground-spices-and-spice-blends-recalled-due-undeclared-0,CFIA,"Ground Spices and Spice Blends","Wheat - Sesame seeds - Mustard - Gluten","Check to see if you have recalled productsDo not consume recalled products to which you are allergic or sensitive as they may cause a serious or life-threatening reactionIf you have celiac disease or other gluten-related disorders, do not consume the recalled products&nbsp;as&nbsp;they&nbsp;may cause a serious or life-threatening reactionDo not serve, use, sell or distribute recalled productsRecalled products should be thrown out or returned to the location where they were purchasedLearn more:Learn more about common food allergiesSign up for recall notifications by email and follow us on social mediaView our detailed explanation of the food safety investigation and recall processReport a food safety or labelling concern","Herbs and spices","Class 1",2026-06-26,0
82254,"Remifentanil hydrochloride for injection; Out of specification (Assay & Impurity)",https://recalls-rappels.canada.ca/en/alert-recall/remifentanil-hydrochloride-injection-out-specification-assay-impurity,"Drugs and health products","Remifentanil hydrochloride for injection 1 mg/vial","Product quality","Verify if your product is affected.Consult your healthcare provider prior to discontinuing use of the affected product(s), or for any health concerns.Contact the recalling firm if you have any questions about the recall.Report any health product&nbsp;related&nbsp;side effects&nbsp;to Health Canada.Report any other health product safety&nbsp;complaints&nbsp;to&nbsp;Health Canada.",Drugs,"Type II",2026-06-26,0
82255,"Amy's brand Organic Lentil Soup (Less Sodium) recalled due to container integrity defects and spoilage",https://recalls-rappels.canada.ca/en/alert-recall/amy-s-brand-organic-lentil-soup-less-sodium-recalled-due-container-integrity-defects,CFIA,"Organic Lentil Soup (Less Sodium)","Non harmful (quality or spoilage)",,Other,"Class 3",2026-06-26,0
82256,"Transport Canada Recall - 2026287 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026287-ford,TC,"SUV recalled by FORD","Lights And Instruments",,"Car - SUV",,2026-06-26,0
82257,"Transport Canada Recall - 2026288 - FORD",https://recalls-rappels.canada.ca/en/alert-recall/transport-canada-recall-2026288-ford,TC,"Light Truck & Van recalled by FORD","Lights And Instruments",,"Light Truck & Van",,2026-06-26,0
